Evento,Mes,Dia,Hora,Altura Solar (deg),Acimut Solar (deg),Obstaculo,FS_geometrico,FS_climatico,FS,Situacion
Equinoccio de Marzo,Mar,20,06:30,6.72,-89.60,Fachada Este,0.000,0.001,0.800,Cielo despejado
Equinoccio de Marzo,Mar,20,07:30,21.59,-88.34,Fachada Este,0.000,0.001,0.800,Cielo despejado
Equinoccio de Marzo,Mar,20,08:30,36.51,-86.79,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Marzo,Mar,20,09:30,51.42,-84.49,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Marzo,Mar,20,10:30,66.24,-79.94,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Marzo,Mar,20,11:30,80.55,-62.50,Fachada Este,0.000,0.000,0.800,Cielo despejado
Solsticio de Junio,Jun,21,06:30,9.22,-113.03,Fachada Este,0.000,0.001,0.800,Cielo despejado
Solsticio de Junio,Jun,21,07:30,22.91,-113.51,Fachada Este,0.000,0.000,0.800,Cielo despejado
Solsticio de Junio,Jun,21,08:30,36.49,-115.88,Fachada Este,0.000,0.000,0.800,Cielo despejado
Solsticio de Junio,Jun,21,09:30,49.64,-121.40,Fachada Este,0.000,0.000,0.800,Cielo despejado
Solsticio de Junio,Jun,21,10:30,61.60,-133.58,Fachada Este,0.000,0.000,0.800,Cielo despejado
Solsticio de Junio,Jun,21,11:30,70.00,-160.75,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Septiembre,Sep,22,06:30,10.34,-89.18,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Septiembre,Sep,22,07:30,25.24,-87.82,Fachada Este,0.000,0.001,0.800,Cielo despejado
Equinoccio de Septiembre,Sep,22,08:30,40.15,-86.07,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Septiembre,Sep,22,09:30,55.04,-83.31,Fachada Este,0.000,0.001,0.800,Cielo despejado
Equinoccio de Septiembre,Sep,22,10:30,69.78,-77.19,Fachada Este,0.000,0.000,0.800,Cielo despejado
Equinoccio de Septiembre,Sep,22,11:30,83.37,-45.16,Fachada Este,0.000,0.001,0.800,Cielo despejado
Solsticio de Diciembre,Dic,21,06:30,6.37,-65.78,Fachada Este,0.000,0.000,0.700,Cielo despejado
Solsticio de Diciembre,Dic,21,07:30,19.78,-63.07,Fachada Este,0.000,0.000,0.700,Cielo despejado
Solsticio de Diciembre,Dic,21,08:30,32.81,-58.21,Fachada Este,0.000,0.000,0.700,Cielo despejado
Solsticio de Diciembre,Dic,21,09:30,44.95,-49.88,Fachada Este,0.000,0.000,0.700,Cielo despejado
Solsticio de Diciembre,Dic,21,10:30,55.17,-35.45,Fachada Este,0.000,0.000,0.700,Cielo despejado
Solsticio de Diciembre,Dic,21,11:30,61.31,-11.86,Fachada Este,0.000,0.000,0.700,Cielo despejado
