Evento,Mes,Dia,Hora,Altura Solar (deg),Acimut Solar (deg),Obstaculo,FS_geometrico,FS_climatico,FS,Situacion
Equinoccio de Marzo,Mar,20,06:30,6.65,-89.60,Fachada Norte,0.000,1.000,1.000,Cielo cubierto
Equinoccio de Marzo,Mar,20,07:30,21.51,-88.31,Fachada Norte,0.000,0.497,0.497,Parcialmente nublado
Equinoccio de Marzo,Mar,20,08:30,36.43,-86.74,Fachada Norte,0.000,0.434,0.434,Parcialmente nublado
Equinoccio de Marzo,Mar,20,09:30,51.33,-84.41,Fachada Norte,0.000,0.344,0.344,Parcialmente nublado
Equinoccio de Marzo,Mar,20,10:30,66.15,-79.80,Fachada Norte,0.000,0.220,0.220,Parcialmente despejado
Equinoccio de Marzo,Mar,20,11:30,80.44,-62.29,Fachada Norte [Edificio alto 1 (250m, 0m)],1.000,0.198,1.000,Sombra geométrica dominante
Equinoccio de Marzo,Mar,20,12:30,82.08,55.86,Fachada Norte [Edificio alto 1 (250m, 0m)],1.000,0.123,1.000,Sombra geométrica dominante
Equinoccio de Marzo,Mar,20,13:30,68.03,78.94,Fachada Norte,0.000,0.050,0.050,Parcialmente despejado
Equinoccio de Marzo,Mar,20,14:30,53.24,84.14,Fachada Norte,0.000,0.037,0.037,Cielo despejado
Equinoccio de Marzo,Mar,20,15:30,38.34,86.64,Fachada Norte,0.000,0.007,0.007,Cielo despejado
Equinoccio de Marzo,Mar,20,16:30,23.42,88.29,Fachada Norte,0.000,0.041,0.041,Cielo despejado
Equinoccio de Marzo,Mar,20,17:30,8.54,89.63,Fachada Norte,0.000,0.000,0.000,Cielo despejado
Equinoccio de Septiembre,Sep,22,06:30,10.26,-89.17,Fachada Norte,0.000,1.000,1.000,Cielo cubierto
Equinoccio de Septiembre,Sep,22,07:30,25.16,-87.79,Fachada Norte,0.000,0.556,0.556,Muy nublado
Equinoccio de Septiembre,Sep,22,08:30,40.07,-86.02,Fachada Norte,0.000,0.497,0.497,Parcialmente nublado
Equinoccio de Septiembre,Sep,22,09:30,54.95,-83.22,Fachada Norte,0.000,0.404,0.404,Parcialmente nublado
Equinoccio de Septiembre,Sep,22,10:30,69.69,-77.03,Fachada Norte,0.000,0.391,0.391,Parcialmente nublado
Equinoccio de Septiembre,Sep,22,11:30,83.26,-45.14,Fachada Norte [Edificio alto 1 (250m, 0m)],1.000,0.405,1.000,Sombra geométrica dominante
Equinoccio de Septiembre,Sep,22,12:30,78.72,65.21,Fachada Norte [Edificio alto 1 (250m, 0m)],1.000,0.303,1.000,Sombra geométrica dominante
Equinoccio de Septiembre,Sep,22,13:30,64.35,79.92,Fachada Norte,0.000,0.224,0.224,Parcialmente despejado
Equinoccio de Septiembre,Sep,22,14:30,49.53,84.30,Fachada Norte,0.000,0.174,0.174,Parcialmente despejado
Equinoccio de Septiembre,Sep,22,15:30,34.63,86.59,Fachada Norte,0.000,0.085,0.085,Parcialmente despejado
Equinoccio de Septiembre,Sep,22,16:30,19.72,88.16,Fachada Norte,0.000,0.000,0.000,Cielo despejado
Equinoccio de Septiembre,Sep,22,17:30,4.89,89.45,Fachada Norte,0.000,0.000,0.000,Cielo despejado
Solsticio de Diciembre,Dic,21,06:30,6.27,-65.78,Fachada Norte,0.000,1.000,1.000,Cielo cubierto
Solsticio de Diciembre,Dic,21,07:30,19.68,-63.06,Fachada Norte,0.000,0.725,0.725,Muy nublado
Solsticio de Diciembre,Dic,21,08:30,32.70,-58.20,Fachada Norte,0.000,0.609,0.609,Muy nublado
Solsticio de Diciembre,Dic,21,09:30,44.84,-49.88,Fachada Norte,0.000,0.457,0.457,Parcialmente nublado
Solsticio de Diciembre,Dic,21,10:30,55.06,-35.48,Fachada Norte,0.000,0.335,0.335,Parcialmente nublado
Solsticio de Diciembre,Dic,21,11:30,61.22,-11.97,Fachada Norte [Edificio alto 1 (250m, 0m)],1.000,0.287,1.000,Sombra geométrica dominante
Solsticio de Diciembre,Dic,21,12:30,60.60,16.50,Fachada Norte [Edificio alto 1 (250m, 0m)],1.000,0.304,1.000,Sombra geométrica dominante
Solsticio de Diciembre,Dic,21,13:30,53.57,38.44,Fachada Norte,0.000,0.316,0.316,Parcialmente nublado
Solsticio de Diciembre,Dic,21,14:30,42.91,51.60,Fachada Norte,0.000,0.328,0.328,Parcialmente nublado
Solsticio de Diciembre,Dic,21,15:30,30.58,59.20,Fachada Norte,0.000,0.396,0.396,Parcialmente nublado
Solsticio de Diciembre,Dic,21,16:30,17.46,63.64,Fachada Norte,0.000,0.393,0.393,Parcialmente nublado
Solsticio de Diciembre,Dic,21,17:30,4.06,66.07,Fachada Norte,0.000,0.833,0.833,Cielo cubierto
